PLAYER_NAME,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,DAYS_SINCE_LAST_GAME,ROLLING_MIN_AVG_3,BACK_TO_BACK,NORM_MIN,NORM_DAYS_OFF,NORM_BACK_TO_BACK,FATIGUE_SCORE
Anthony Davis,2023-10-24,LAL @ DEN,L,34,17,8,4,,,0,,0.0,0,
Anthony Davis,2023-10-26,LAL vs. PHX,W,39,30,12,2,2.0,,0,,0.4,0,
Anthony Davis,2023-10-29,LAL @ SAC,L,42,30,16,2,3.0,,0,,0.6,0,
Anthony Davis,2023-10-30,LAL vs. ORL,W,38,26,19,5,1.0,38.333333333333336,1,0.6530612244897961,0.2,1,0.766530612244898
Anthony Davis,2023-11-01,LAL vs. LAC,W,48,27,10,3,2.0,39.666666666666664,0,0.7346938775510202,0.4,0,0.5473469387755101
Anthony Davis,2023-11-04,LAL @ ORL,L,32,28,13,3,3.0,42.666666666666664,0,0.9183673469387753,0.6,0,0.5791836734693876
Anthony Davis,2023-11-06,LAL @ MIA,L,25,9,6,4,2.0,39.333333333333336,0,0.7142857142857144,0.4,0,0.5371428571428571
Anthony Davis,2023-11-10,LAL @ PHX,W,36,18,11,4,4.0,35.0,0,0.44897959183673464,0.8,0,0.2844897959183673
Anthony Davis,2023-11-12,LAL vs. POR,W,41,30,13,6,2.0,31.0,0,0.20408163265306117,0.4,0,0.28204081632653055
Anthony Davis,2023-11-14,LAL vs. MEM,W,27,19,11,5,2.0,34.0,0,0.38775510204081626,0.4,0,0.3738775510204081
Anthony Davis,2023-11-15,LAL vs. SAC,L,35,9,9,0,1.0,34.666666666666664,1,0.4285714285714284,0.2,1,0.6542857142857141
Anthony Davis,2023-11-17,LAL @ POR,W,35,16,14,2,2.0,34.333333333333336,0,0.40816326530612257,0.4,0,0.3840816326530613
Anthony Davis,2023-11-19,LAL vs. HOU,W,33,27,10,3,2.0,32.333333333333336,0,0.2857142857142858,0.4,0,0.3228571428571429
Anthony Davis,2023-11-21,LAL vs. UTA,W,29,26,16,4,2.0,34.333333333333336,0,0.40816326530612257,0.4,0,0.3840816326530613
Anthony Davis,2023-11-22,LAL vs. DAL,L,36,10,13,4,1.0,32.333333333333336,1,0.2857142857142858,0.2,1,0.582857142857143
Anthony Davis,2023-11-25,LAL @ CLE,W,38,32,13,3,3.0,32.666666666666664,0,0.3061224489795916,0.6,0,0.2730612244897958
Anthony Davis,2023-11-27,LAL @ PHI,L,32,17,11,2,2.0,34.333333333333336,0,0.40816326530612257,0.4,0,0.3840816326530613
Anthony Davis,2023-11-29,LAL @ DET,W,29,28,16,4,2.0,35.333333333333336,0,0.46938775510204095,0.4,0,0.4146938775510205
Anthony Davis,2023-11-30,LAL @ OKC,L,36,31,14,2,1.0,33.0,1,0.32653061224489793,0.2,1,0.6032653061224489
Anthony Davis,2023-12-02,LAL vs. HOU,W,37,27,14,3,2.0,32.333333333333336,0,0.2857142857142858,0.4,0,0.3228571428571429
Anthony Davis,2023-12-05,LAL vs. PHX,W,39,27,15,1,3.0,34.0,0,0.38775510204081626,0.6,0,0.31387755102040815
Anthony Davis,2023-12-07,LAL vs. NOP,W,31,16,15,5,2.0,37.333333333333336,0,0.5918367346938777,0.4,0,0.4759183673469388
Anthony Davis,2023-12-12,LAL @ DAL,L,37,37,11,0,5.0,35.666666666666664,0,0.48979591836734676,1.0,0,0.24489795918367338
Anthony Davis,2023-12-13,LAL @ SAS,W,38,37,10,1,1.0,35.666666666666664,1,0.48979591836734676,0.2,1,0.6848979591836735
Anthony Davis,2023-12-18,LAL vs. NYK,L,35,32,14,2,5.0,35.333333333333336,0,0.46938775510204095,1.0,0,0.23469387755102047
Anthony Davis,2023-12-20,LAL @ CHI,L,38,19,14,3,2.0,36.666666666666664,0,0.5510204081632651,0.4,0,0.45551020408163256
Anthony Davis,2023-12-21,LAL @ MIN,L,39,31,8,4,1.0,37.0,1,0.5714285714285714,0.2,1,0.7257142857142858
Anthony Davis,2023-12-23,LAL @ OKC,W,42,26,11,7,2.0,37.333333333333336,0,0.5918367346938777,0.4,0,0.4759183673469388
Anthony Davis,2023-12-25,LAL vs. BOS,L,39,40,13,4,2.0,39.666666666666664,0,0.7346938775510202,0.4,0,0.5473469387755101
Anthony Davis,2023-12-28,LAL vs. CHA,W,26,26,8,2,3.0,40.0,0,0.7551020408163265,0.6,0,0.49755102040816324
Anthony Davis,2023-12-30,LAL @ MIN,L,39,33,17,8,2.0,35.666666666666664,0,0.48979591836734676,0.4,0,0.42489795918367335
Anthony Davis,2023-12-31,LAL @ NOP,L,35,20,10,3,1.0,34.666666666666664,1,0.4285714285714284,0.2,1,0.6542857142857141
Anthony Davis,2024-01-03,LAL vs. MIA,L,43,29,17,6,3.0,33.333333333333336,0,0.3469387755102042,0.6,0,0.2934693877551021
Anthony Davis,2024-01-05,LAL vs. MEM,L,41,31,6,4,2.0,39.0,0,0.6938775510204082,0.4,0,0.5269387755102041
Anthony Davis,2024-01-07,LAL vs. LAC,W,39,22,10,1,2.0,39.666666666666664,0,0.7346938775510202,0.4,0,0.5473469387755101
Anthony Davis,2024-01-09,LAL vs. TOR,W,40,41,11,6,2.0,41.0,0,0.8163265306122449,0.4,0,0.5881632653061224
Anthony Davis,2024-01-11,LAL vs. PHX,L,32,13,5,1,2.0,40.0,0,0.7551020408163265,0.4,0,0.5575510204081633
Anthony Davis,2024-01-13,LAL @ UTA,L,39,15,15,11,2.0,37.0,0,0.5714285714285714,0.4,0,0.4657142857142857
Anthony Davis,2024-01-15,LAL vs. OKC,W,38,27,15,5,2.0,37.0,0,0.5714285714285714,0.4,0,0.4657142857142857
Anthony Davis,2024-01-17,LAL vs. DAL,W,33,28,12,9,2.0,36.333333333333336,0,0.5306122448979593,0.4,0,0.44530612244897966
Anthony Davis,2024-01-19,LAL vs. BKN,L,35,26,12,6,2.0,36.666666666666664,0,0.5510204081632651,0.4,0,0.45551020408163256
Anthony Davis,2024-01-21,LAL vs. POR,W,26,14,14,3,2.0,35.333333333333336,0,0.46938775510204095,0.4,0,0.4146938775510205
Anthony Davis,2024-01-23,LAL @ LAC,L,36,26,12,2,2.0,31.333333333333332,0,0.2244897959183672,0.4,0,0.2922448979591836
Anthony Davis,2024-01-25,LAL vs. CHI,W,36,22,11,6,2.0,32.333333333333336,0,0.2857142857142858,0.4,0,0.3228571428571429
Anthony Davis,2024-01-27,LAL @ GSW,W,45,29,13,3,2.0,32.666666666666664,0,0.3061224489795916,0.4,0,0.3330612244897958
Anthony Davis,2024-01-29,LAL @ HOU,L,29,23,7,2,2.0,39.0,0,0.6938775510204082,0.4,0,0.5269387755102041
Anthony Davis,2024-02-03,LAL @ NYK,W,36,12,18,5,5.0,36.666666666666664,0,0.5510204081632651,1.0,0,0.27551020408163257
Anthony Davis,2024-02-05,LAL @ CHA,W,37,26,15,11,2.0,36.666666666666664,0,0.5510204081632651,0.4,0,0.45551020408163256
Anthony Davis,2024-02-08,LAL vs. DEN,L,38,32,9,3,3.0,34.0,0,0.38775510204081626,0.6,0,0.31387755102040815
Anthony Davis,2024-02-09,LAL vs. NOP,W,29,20,6,6,1.0,37.0,1,0.5714285714285714,0.2,1,0.7257142857142858
Anthony Davis,2024-02-13,LAL vs. DET,W,28,20,14,4,4.0,34.666666666666664,0,0.4285714285714284,0.8,0,0.2742857142857142
Anthony Davis,2024-02-14,LAL @ UTA,W,38,37,15,1,1.0,31.666666666666668,1,0.2448979591836735,0.2,1,0.5624489795918368
Anthony Davis,2024-02-22,LAL @ GSW,L,33,27,15,1,8.0,31.666666666666668,0,0.2448979591836735,1.0,0,0.12244897959183675
Anthony Davis,2024-02-23,LAL vs. SAS,W,29,28,13,0,1.0,33.0,1,0.32653061224489793,0.2,1,0.6032653061224489
Anthony Davis,2024-02-25,LAL @ PHX,L,42,22,14,0,2.0,33.333333333333336,0,0.3469387755102042,0.4,0,0.35346938775510206
Anthony Davis,2024-02-28,LAL @ LAC,W,36,20,12,2,3.0,34.666666666666664,0,0.4285714285714284,0.6,0,0.3342857142857142
Anthony Davis,2024-02-29,LAL vs. WAS,W,41,40,15,4,1.0,35.666666666666664,1,0.48979591836734676,0.2,1,0.6848979591836735
Anthony Davis,2024-03-02,LAL vs. DEN,L,39,17,11,2,2.0,39.666666666666664,0,0.7346938775510202,0.4,0,0.5473469387755101
Anthony Davis,2024-03-04,LAL vs. OKC,W,30,24,12,4,2.0,38.666666666666664,0,0.6734693877551019,0.4,0,0.516734693877551
Anthony Davis,2024-03-06,LAL vs. SAC,L,34,14,11,3,2.0,36.666666666666664,0,0.5510204081632651,0.4,0,0.45551020408163256
Anthony Davis,2024-03-08,LAL vs. MIL,W,41,22,13,5,2.0,34.333333333333336,0,0.40816326530612257,0.4,0,0.3840816326530613
Anthony Davis,2024-03-10,LAL vs. MIN,W,39,27,25,5,2.0,35.0,0,0.44897959183673464,0.4,0,0.4044897959183673
Anthony Davis,2024-03-13,LAL @ SAC,L,41,22,10,3,3.0,38.0,0,0.6326530612244897,0.6,0,0.43632653061224486
Anthony Davis,2024-03-16,LAL vs. GSW,L,12,8,4,2,3.0,40.333333333333336,0,0.7755102040816327,0.6,0,0.5077551020408164
Anthony Davis,2024-03-18,LAL vs. ATL,W,31,22,15,6,2.0,30.666666666666668,0,0.1836734693877551,0.4,0,0.27183673469387754
Anthony Davis,2024-03-22,LAL vs. PHI,W,40,23,19,4,4.0,28.0,0,0.02040816326530605,0.8,0,0.07020408163265301
Anthony Davis,2024-03-24,LAL vs. IND,W,40,36,16,3,2.0,27.666666666666668,0,0.0,0.4,0,0.18
Anthony Davis,2024-03-26,LAL @ MIL,W,52,34,23,2,2.0,37.0,0,0.5714285714285714,0.4,0,0.4657142857142857
Anthony Davis,2024-03-29,LAL @ IND,L,38,24,15,3,3.0,44.0,0,1.0,0.6,0,0.62
Anthony Davis,2024-03-31,LAL @ BKN,W,35,24,14,0,2.0,43.333333333333336,0,0.9591836734693879,0.4,0,0.659591836734694
Anthony Davis,2024-04-02,LAL @ TOR,W,28,21,12,1,2.0,41.666666666666664,0,0.857142857142857,0.4,0,0.6085714285714285
Anthony Davis,2024-04-03,LAL @ WAS,W,38,35,18,1,1.0,33.666666666666664,1,0.36734693877551,0.2,1,0.623673469387755
Anthony Davis,2024-04-06,LAL vs. CLE,W,36,22,13,4,3.0,33.666666666666664,0,0.36734693877551,0.6,0,0.30367346938775497
Anthony Davis,2024-04-07,LAL vs. MIN,L,12,4,4,3,1.0,34.0,1,0.38775510204081626,0.2,1,0.6338775510204082
Anthony Davis,2024-04-12,LAL @ MEM,W,43,36,14,5,5.0,28.666666666666668,0,0.06122448979591837,1.0,0,0.030612244897959186
Anthony Davis,2024-04-14,LAL @ NOP,W,33,30,11,3,2.0,30.333333333333332,0,0.16326530612244886,0.4,0,0.2616326530612244
LeBron James,2023-10-24,LAL @ DEN,L,29,21,8,5,,,0,,0.0,0,
LeBron James,2023-10-26,LAL vs. PHX,W,35,21,8,9,2.0,,0,,0.4,0,
LeBron James,2023-10-29,LAL @ SAC,L,39,27,15,8,3.0,,0,,0.6,0,
LeBron James,2023-10-30,LAL vs. ORL,W,33,19,3,4,1.0,34.333333333333336,1,0.48571428571428577,0.2,1,0.6828571428571428
LeBron James,2023-11-01,LAL vs. LAC,W,42,35,12,7,2.0,35.666666666666664,0,0.5999999999999996,0.4,0,0.4799999999999998
LeBron James,2023-11-04,LAL @ ORL,L,35,24,9,5,3.0,38.0,0,0.7999999999999998,0.6,0,0.5199999999999999
LeBron James,2023-11-06,LAL @ MIA,L,37,30,4,3,2.0,36.666666666666664,0,0.6857142857142854,0.4,0,0.5228571428571427
LeBron James,2023-11-08,LAL @ HOU,L,27,18,6,2,2.0,38.0,0,0.7999999999999998,0.4,0,0.5799999999999998
LeBron James,2023-11-10,LAL @ PHX,W,36,32,11,6,2.0,33.0,0,0.3714285714285713,0.4,0,0.36571428571428566
LeBron James,2023-11-14,LAL vs. MEM,W,23,16,9,6,4.0,33.333333333333336,0,0.4000000000000001,0.8,0,0.26
LeBron James,2023-11-15,LAL vs. SAC,L,35,28,10,12,1.0,28.666666666666668,1,0.0,0.2,1,0.44
LeBron James,2023-11-17,LAL @ POR,W,35,35,5,9,2.0,31.333333333333332,0,0.22857142857142834,0.4,0,0.29428571428571415
LeBron James,2023-11-19,LAL vs. HOU,W,40,37,6,8,2.0,31.0,0,0.19999999999999987,0.4,0,0.2799999999999999
LeBron James,2023-11-21,LAL vs. UTA,W,24,17,7,9,2.0,36.666666666666664,0,0.6857142857142854,0.4,0,0.5228571428571427
LeBron James,2023-11-22,LAL vs. DAL,L,36,26,9,7,1.0,33.0,1,0.3714285714285713,0.2,1,0.6257142857142857
LeBron James,2023-11-25,LAL @ CLE,W,36,22,6,6,3.0,33.333333333333336,0,0.4000000000000001,0.6,0,0.32000000000000006
LeBron James,2023-11-27,LAL @ PHI,L,30,18,0,5,2.0,32.0,0,0.2857142857142856,0.4,0,0.3228571428571428
LeBron James,2023-11-29,LAL @ DET,W,29,25,8,3,2.0,34.0,0,0.457142857142857,0.4,0,0.4085714285714285
LeBron James,2023-11-30,LAL @ OKC,L,35,21,12,6,1.0,31.666666666666668,1,0.2571428571428571,0.2,1,0.5685714285714285
LeBron James,2023-12-02,LAL vs. HOU,W,35,16,4,7,2.0,31.333333333333332,0,0.22857142857142834,0.4,0,0.29428571428571415
LeBron James,2023-12-05,LAL vs. PHX,W,40,31,8,11,3.0,33.0,0,0.3714285714285713,0.6,0,0.3057142857142856
LeBron James,2023-12-07,LAL vs. NOP,W,23,30,5,8,2.0,36.666666666666664,0,0.6857142857142854,0.4,0,0.5228571428571427
LeBron James,2023-12-12,LAL @ DAL,L,40,33,8,9,5.0,32.666666666666664,0,0.3428571428571425,1.0,0,0.17142857142857126
LeBron James,2023-12-15,LAL @ SAS,L,36,23,7,14,3.0,34.333333333333336,0,0.48571428571428577,0.6,0,0.3628571428571429
LeBron James,2023-12-18,LAL vs. NYK,L,39,25,11,11,3.0,33.0,0,0.3714285714285713,0.6,0,0.3057142857142856
LeBron James,2023-12-20,LAL @ CHI,L,37,25,10,9,2.0,38.333333333333336,0,0.8285714285714286,0.4,0,0.5942857142857143
LeBron James,2023-12-23,LAL @ OKC,W,37,40,7,7,3.0,37.333333333333336,0,0.7428571428571429,0.6,0,0.49142857142857144
LeBron James,2023-12-25,LAL vs. BOS,L,37,16,9,8,2.0,37.666666666666664,0,0.771428571428571,0.4,0,0.5657142857142855
LeBron James,2023-12-28,LAL vs. CHA,W,25,17,4,11,3.0,37.0,0,0.7142857142857141,0.6,0,0.47714285714285704
LeBron James,2023-12-30,LAL @ MIN,L,39,26,3,6,2.0,33.0,0,0.3714285714285713,0.4,0,0.36571428571428566
LeBron James,2023-12-31,LAL @ NOP,L,37,34,5,8,1.0,33.666666666666664,1,0.4285714285714282,0.2,1,0.6542857142857141
LeBron James,2024-01-03,LAL vs. MIA,L,38,12,6,9,3.0,33.666666666666664,0,0.4285714285714282,0.6,0,0.3342857142857141
LeBron James,2024-01-05,LAL vs. MEM,L,39,32,5,7,2.0,38.0,0,0.7999999999999998,0.4,0,0.5799999999999998
LeBron James,2024-01-07,LAL vs. LAC,W,38,25,8,7,2.0,38.0,0,0.7999999999999998,0.4,0,0.5799999999999998
LeBron James,2024-01-09,LAL vs. TOR,W,35,22,5,12,2.0,38.333333333333336,0,0.8285714285714286,0.4,0,0.5942857142857143
LeBron James,2024-01-11,LAL vs. PHX,L,24,10,5,9,2.0,37.333333333333336,0,0.7428571428571429,0.4,0,0.5514285714285714
LeBron James,2024-01-15,LAL vs. OKC,W,39,25,7,6,4.0,32.333333333333336,0,0.31428571428571433,0.8,0,0.21714285714285714
LeBron James,2024-01-17,LAL vs. DAL,W,33,25,8,8,2.0,32.666666666666664,0,0.3428571428571425,0.4,0,0.35142857142857126
LeBron James,2024-01-19,LAL vs. BKN,L,34,24,11,5,2.0,32.0,0,0.2857142857142856,0.4,0,0.3228571428571428
LeBron James,2024-01-21,LAL vs. POR,W,31,28,5,5,2.0,35.333333333333336,0,0.5714285714285715,0.4,0,0.46571428571428575
LeBron James,2024-01-25,LAL vs. CHI,W,36,25,4,12,4.0,32.666666666666664,0,0.3428571428571425,0.8,0,0.23142857142857126
LeBron James,2024-01-27,LAL @ GSW,W,48,36,20,12,2.0,33.666666666666664,0,0.4285714285714282,0.4,0,0.39428571428571413
LeBron James,2024-01-29,LAL @ HOU,L,37,23,6,10,2.0,38.333333333333336,0,0.8285714285714286,0.4,0,0.5942857142857143
LeBron James,2024-01-30,LAL @ ATL,L,36,20,9,8,1.0,40.333333333333336,1,1.0,0.2,1,0.94
LeBron James,2024-02-03,LAL @ NYK,W,40,24,5,5,4.0,40.333333333333336,0,1.0,0.8,0,0.5599999999999999
LeBron James,2024-02-05,LAL @ CHA,W,40,26,4,7,2.0,37.666666666666664,0,0.771428571428571,0.4,0,0.5657142857142855
LeBron James,2024-02-08,LAL vs. DEN,L,35,25,9,7,3.0,38.666666666666664,0,0.8571428571428568,0.6,0,0.5485714285714284
LeBron James,2024-02-09,LAL vs. NOP,W,38,21,4,14,1.0,38.333333333333336,1,0.8285714285714286,0.2,1,0.8542857142857143
LeBron James,2024-02-13,LAL vs. DET,W,31,25,1,8,4.0,37.666666666666664,0,0.771428571428571,0.8,0,0.4457142857142855
LeBron James,2024-02-23,LAL vs. SAS,W,34,30,7,9,10.0,34.666666666666664,0,0.5142857142857139,1.0,0,0.25714285714285695
LeBron James,2024-02-25,LAL @ PHX,L,37,28,7,12,2.0,34.333333333333336,0,0.48571428571428577,0.4,0,0.4228571428571429
LeBron James,2024-02-28,LAL @ LAC,W,37,34,6,8,3.0,34.0,0,0.457142857142857,0.6,0,0.34857142857142853
LeBron James,2024-02-29,LAL vs. WAS,W,39,31,4,9,1.0,36.0,1,0.6285714285714284,0.2,1,0.7542857142857142
LeBron James,2024-03-02,LAL vs. DEN,L,37,26,4,9,2.0,37.666666666666664,0,0.771428571428571,0.4,0,0.5657142857142855
LeBron James,2024-03-04,LAL vs. OKC,W,31,19,11,8,2.0,37.666666666666664,0,0.771428571428571,0.4,0,0.5657142857142855
LeBron James,2024-03-06,LAL vs. SAC,L,36,31,5,13,2.0,35.666666666666664,0,0.5999999999999996,0.4,0,0.4799999999999998
LeBron James,2024-03-10,LAL vs. MIN,W,38,29,8,9,4.0,34.666666666666664,0,0.5142857142857139,0.8,0,0.31714285714285695
LeBron James,2024-03-13,LAL @ SAC,L,40,18,13,9,3.0,35.0,0,0.5428571428571427,0.6,0,0.39142857142857135
LeBron James,2024-03-16,LAL vs. GSW,L,38,40,8,9,3.0,38.0,0,0.7999999999999998,0.6,0,0.5199999999999999
LeBron James,2024-03-18,LAL vs. ATL,W,29,25,7,10,2.0,38.666666666666664,0,0.8571428571428568,0.4,0,0.6085714285714283
LeBron James,2024-03-22,LAL vs. PHI,W,38,20,8,6,4.0,35.666666666666664,0,0.5999999999999996,0.8,0,0.3599999999999998
LeBron James,2024-03-24,LAL vs. IND,W,38,26,5,10,2.0,35.0,0,0.5428571428571427,0.4,0,0.45142857142857135
LeBron James,2024-03-27,LAL @ MEM,W,35,23,14,12,3.0,35.0,0,0.5428571428571427,0.6,0,0.39142857142857135
LeBron James,2024-03-29,LAL @ IND,L,35,16,10,8,2.0,37.0,0,0.7142857142857141,0.4,0,0.537142857142857
LeBron James,2024-03-31,LAL @ BKN,W,37,40,7,5,2.0,36.0,0,0.6285714285714284,0.4,0,0.4942857142857142
LeBron James,2024-04-02,LAL @ TOR,W,29,23,4,9,2.0,35.666666666666664,0,0.5999999999999996,0.4,0,0.4799999999999998
LeBron James,2024-04-03,LAL @ WAS,W,36,25,7,9,1.0,33.666666666666664,1,0.4285714285714282,0.2,1,0.6542857142857141
LeBron James,2024-04-06,LAL vs. CLE,W,36,24,5,12,3.0,34.0,0,0.457142857142857,0.6,0,0.34857142857142853
LeBron James,2024-04-09,LAL vs. GSW,L,36,33,7,11,3.0,33.666666666666664,0,0.4285714285714282,0.6,0,0.3342857142857141
LeBron James,2024-04-12,LAL @ MEM,W,41,37,9,5,3.0,36.0,0,0.6285714285714284,0.6,0,0.4342857142857142
LeBron James,2024-04-14,LAL @ NOP,W,38,28,11,17,2.0,37.666666666666664,0,0.771428571428571,0.4,0,0.5657142857142855
